context_len,gamma,alpha,base_energy_per_tok,base_latency_per_tok,spec_energy_per_tok,spec_latency_per_tok,latency_speedup,energy_ratio
128,3,0.5,0.2772592686930707,0.0037039706883206236,0.20191747348562447,0.002879432267703426,1.2863545115700297,0.7282623027803968
128,3,0.55,0.2772592686930707,0.0037039706883206236,0.18752783742705512,0.002674229708101752,1.38506078109117,0.6763627355399636
128,3,0.6000000000000001,0.2772592686930707,0.0037039706883206236,0.17398679355953395,0.002481128447584524,1.4928572891607383,0.6275238132873364
128,3,0.6500000000000001,0.2772592686930707,0.0037039706883206236,0.16130170433425822,0.002300233477954486,1.6102585775833635,0.581772090414121
128,3,0.7000000000000002,0.2772592686930707,0.0037039706883206236,0.14946516493704926,0.002131439203294087,1.7377791881636726,0.5390808597367721
128,3,0.7500000000000002,0.2772592686930707,0.0037039706883206236,0.13845769610442818,0.0019744678407109207,1.8759336627062932,0.4993798647637006
128,3,0.8000000000000003,0.2772592686930707,0.0037039706883206236,0.12825042777288134,0.0018289076903604071,2.0252365430158554,0.46256497890015025
128,3,0.8500000000000003,0.2772592686930707,0.0037039706883206236,0.1188075982538095,0.0016942487747833278,2.1862023708969853,0.4285072193035715
128,3,0.9000000000000004,0.2772592686930707,0.0037039706883206236,0.11008876498561955,0.0015699143652061415,2.359345688154312,0.3970607204749181
128,3,0.9500000000000004,0.2772592686930707,0.0037039706883206236,0.10205067900819989,0.001455287712374115,2.5451810365924628,0.3680694949865543
128,3,1.0000000000000004,0.2772592686930707,0.0037039706883206236,0.09464881569638647,0.0013497338754859811,2.744222958016063,0.34137295442831106
128,6,0.5,0.27866016469920385,0.003619797366923194,0.24442142550524712,0.0031033251085089463,1.1664254437919324,0.8771308441918302
128,6,0.55,0.27866016469920385,0.003619797366923194,0.22163494327474031,0.00281401388182597,1.2863466631423879,0.7953592631870483
128,6,0.6000000000000001,0.27866016469920385,0.003619797366923194,0.1995969434921312,0.002534205849754668,1.4283754286470534,0.7162736866519245
128,6,0.6500000000000001,0.27866016469920385,0.003619797366923194,0.17850924834253384,0.0022664634711843288,1.5971125998477653,0.6405983737762567
128,6,0.7000000000000002,0.27866016469920385,0.003619797366923194,0.15856569683821584,0.0020132478457200106,1.7979889433973903,0.5690289353319573
128,6,0.7500000000000002,0.27866016469920385,0.003619797366923194,0.1399350106717368,0.0017767011679904697,2.0373698358162002,0.5021708460654498
128,6,0.8000000000000003,0.27866016469920385,0.003619797366923194,0.12274657597791945,0.001558466204132342,2.3226665790539065,0.44048842112189474
128,6,0.8500000000000003,0.27866016469920385,0.003619797366923194,0.10708141229959404,0.0013595716282114353,2.6624543288573665,0.3842724072713504
128,6,0.9000000000000004,0.27866016469920385,0.003619797366923194,0.09296930883427264,0.00118039566224495,3.0665966359439496,0.3336297060422223
128,6,0.9500000000000004,0.27866016469920385,0.003619797366923194,0.0803917355305064,0.0010207030372755743,3.546376599980572,0.28849382048303973
128,6,1.0000000000000004,0.27866016469920385,0.003619797366923194,0.06928910946242496,0.0008797372517424914,4.114634636368391,0.24865093127759472
128,9,0.5,0.28312595928191964,0.0037090978832010377,0.3021798788649882,0.004149062921967219,0.893960384057618,1.0672983841940675
128,9,0.55,0.28312595928191964,0.0037090978832010377,0.27238624437360703,0.0037399831889183355,0.9917418597471743,0.9620673606349934
128,9,0.6000000000000001,0.28312595928191964,0.0037090978832010377,0.24297701415179293,0.0033361814959159877,1.1117794064086617,0.85819405175013
128,9,0.6500000000000001,0.28312595928191964,0.0037090978832010377,0.21420310840094747,0.0029411030879179737,1.2611247454868142,0.7565647069036754
128,9,0.7000000000000002,0.28312595928191964,0.0037090978832010377,0.18639609719294079,0.002559300568149888,1.4492623216515501,0.6583504305493191
128,9,0.7500000000000002,0.28312595928191964,0.0037090978832010377,0.15994972166741075,0.0021961801759995438,1.6888859683440691,0.5649419151570716
128,9,0.8000000000000003,0.28312595928191964,0.0037090978832010377,0.13527943080952348,0.0018574462091415455,1.996880375295104,0.47780652523925027
128,9,0.8500000000000003,0.28312595928191964,0.0037090978832010377,0.11276621600357029,0.0015483298472033695,2.3955476217813017,0.3982899211699784
128,9,0.9000000000000004,0.28312595928191964,0.0037090978832010377,0.09269915197445122,0.0012728002135669759,2.91412418356407,0.32741311397075756
128,9,0.9500000000000004,0.28312595928191964,0.0037090978832010377,0.07523363370504088,0.0010329909498372467,3.5906392827404985,0.26572495823361714
128,9,1.0000000000000004,0.28312595928191964,0.0037090978832010377,0.060376956265406824,0.0008290022205414971,4.474171228128059,0.21325122012315062
256,3,0.5,0.5200524058693721,0.007868131087737614,0.34226540278045514,0.005464435324150448,1.4398799914355043,0.6581363703303896
256,3,0.55,0.5200524058693721,0.007868131087737614,0.3178738803607719,0.005075012684184058,1.550366782778322,0.6112343232589836
256,3,0.6000000000000001,0.5200524058693721,0.007868131087737614,0.29492078594363663,0.004708555254035887,1.6710287260606174,0.5670982051330332
256,3,0.6500000000000001,0.5200524058693721,0.007868131087737614,0.27341859944116875,0.004365262281634803,1.8024417732789648,0.5257520133650658
256,3,0.7000000000000002,0.5200524058693721,0.007868131087737614,0.2533547691327884,0.004044933372594586,1.945181876429938,0.4871716124632767
256,3,0.7500000000000002,0.5200524058693721,0.007868131087737614,0.23469627619231204,0.003747041365131735,2.099824987510111,0.45129351108369564
256,3,0.8000000000000003,0.5200524058693721,0.007868131087737614,0.21739418367661012,0.0034708049569045006,2.266947058516059,0.41802360920375337
256,3,0.8500000000000003,0.5200524058693721,0.007868131087737614,0.20138787281633486,0.0032152563394758043,2.447124041444355,0.38724534401427213
256,3,0.9000000000000004,0.5200524058693721,0.007868131087737614,0.18660879040807005,0.0029793010272701607,2.640931888291575,0.3588268957166268
256,3,0.9500000000000004,0.5200524058693721,0.007868131087737614,0.1729836261904654,0.0027617685859448312,2.8489465510542913,0.33262729724572376
256,3,1.0000000000000004,0.5200524058693721,0.007868131087737614,0.16043690755333834,0.0025614540581955225,3.071743981729076,0.3085014235923701
256,6,0.5,0.5202467647356362,0.007660408072600451,0.46053284559126195,0.0071449056757003524,1.0721496434380247,0.8852200086727728
256,6,0.55,0.5202467647356362,0.007660408072600451,0.4175991155349141,0.006478813225411054,1.1823782853555607,0.8026943055515537
256,6,0.6000000000000001,0.5202467647356362,0.007660408072600451,0.37607565772001517,0.005834600348400128,1.312927641170996,0.7228793780411461
256,6,0.6500000000000001,0.5202467647356362,0.007660408072600451,0.336342740549885,0.005218166693083923,1.4680267080684557,0.6465061646674493
256,6,0.7000000000000002,0.5202467647356362,0.007660408072600451,0.29876559072967707,0.004635178544470229,1.6526673134823089,0.5742766913341498
256,6,0.7500000000000002,0.5202467647356362,0.007660408072600451,0.2636621095277717,0.004090567960279808,1.8727003553013835,0.5068020166579061
256,6,0.8000000000000003,0.5202467647356362,0.007660408072600451,0.2312760831209609,0.0035881171446592104,2.1349381204018676,0.4445507378378105
256,6,0.8500000000000003,0.5202467647356362,0.007660408072600451,0.2017601665415561,0.003130194453779399,2.447262681508898,0.3878162829980897
256,6,0.9000000000000004,0.5202467647356362,0.007660408072600451,0.1751704878637216,0.002717670682849665,2.818740372386836,0.3367065395451995
256,6,0.9500000000000004,0.5202467647356362,0.007660408072600451,0.15147213321971842,0.0023500041630310597,3.259742341358229,0.2911543972727809
256,6,1.0000000000000004,0.5202467647356362,0.007660408072600451,0.13055283792430863,0.002025453171459698,3.7820711831514573,0.25094406495857624
256,9,0.5,0.4970986316472588,0.0077962152081454406,0.4771988033732639,0.008346470887545143,0.9340732524184789,0.9599680485781023
256,9,0.55,0.4970986316472588,0.0077962152081454406,0.43014905677587456,0.007523544808381617,1.036242277637538,0.8653193338120237
256,9,0.6000000000000001,0.4970986316472588,0.0077962152081454406,0.3837063567433922,0.006711236309240431,1.1616660252912188,0.7718917983577759
256,9,0.6500000000000001,0.4970986316472588,0.0077962152081454406,0.33826695341762214,0.005916476024166316,1.3177126343960799,0.6804825680100772
256,9,0.7000000000000002,0.4970986316472588,0.0077962152081454406,0.2943544582386283,0.00514842220672149,1.5142921258414161,0.5921449778753409
256,9,0.7500000000000002,0.4970986316472588,0.0077962152081454406,0.2525906624434043,0.004417950329394591,1.7646679176707236,0.508129868727224
256,9,0.8000000000000003,0.4970986316472588,0.0077962152081454406,0.21363163803558097,0.003736535454234667,2.086482331998184,0.42975704303924533
256,9,0.8500000000000003,0.4970986316472588,0.0077962152081454406,0.1780790419929896,0.0031147008944065,2.503038164000333,0.3582368380353026
256,9,0.9000000000000004,0.4970986316472588,0.0077962152081454406,0.14638937761864929,0.0025604311450550567,3.0448837584256925,0.29448758918034434
256,9,0.9500000000000004,0.4970986316472588,0.0077962152081454406,0.11880804278668883,0.002078018350665617,3.7517547454035762,0.2390029568035404
256,9,1.0000000000000004,0.4970986316472588,0.0077962152081454406,0.09534655778336895,0.001667664007413805,4.674931625007441,0.19180611595613256
384,3,0.5,0.7163832065563019,0.011436961309300386,0.5999367763163573,0.008015825761564581,1.4267976437486891,0.8374523171757338
384,3,0.55,0.7163832065563019,0.011436961309300386,0.5571823196548424,0.007444578442416488,1.536280582945672,0.7777713304213985
384,3,0.6000000000000001,0.7163832065563019,0.011436961309300386,0.5169491983424495,0.006907018981127567,1.6558462254918125,0.7216098780811124
384,3,0.6500000000000001,0.7163832065563019,0.011436961309300386,0.4792592876788283,0.006403439656146812,1.7860652904446097,0.6689984959064815
384,3,0.7000000000000002,0.7163832065563019,0.011436961309300386,0.44409058649552696,0.0059335465072773725,1.9275084968615632,0.6199064724455193
384,3,0.7500000000000002,0.7163832065563019,0.011436961309300386,0.41138521804550215,0.005496566236501426,2.0807465638001723,0.5742530174919317
384,3,0.8000000000000003,0.7163832065563019,0.011436961309300386,0.38105740365622276,0.0050913527448962,2.2463502103179374,0.5319183925150746
384,3,0.8500000000000003,0.7163832065563019,0.011436961309300386,0.3530008882730693,0.004716486346191842,2.424890155472357,0.49275427598305416
384,3,0.9000000000000004,0.7163832065563019,0.011436961309300386,0.3270955090413403,0.004370361530367426,2.6169371183209313,0.45659293245260246
384,3,0.9500000000000004,0.7163832065563019,0.011436961309300386,0.30321276474090614,0.0040512613775217695,2.8230618179211593,0.4232549869482124
384,3,1.0000000000000004,0.7163832065563019,0.011436961309300386,0.2812203638982925,0.003757418325733397,3.043834973330537,0.3925557736761252
