T,o,k,e,n,s
L,o,o,k,a,h,e,a,d
E,n,e,r,g,y
L,a,t,e,n,c,y
512,3,236.45944737878497,1190.9192733764648
640,3,296.3114680632092,1492.3400497436523
768,3,356.46977155049547,1795.2948913574219
896,3,416.9343557154914,2099.783660888672
1024,3,477.70522821219134,2405.8067321777344
1152,3,538.782385468322,2713.363327026367
1280,3,600.1658307142598,3022.4539489746094
1408,3,661.8555504428944,3333.0787658691406
1536,3,723.8521464603077,3645.2372131347656
1664,3,786.1538506863897,3958.929901123047
1792,3,848.7624336713645,4274.156219482422
1920,3,911.6772884704633,4590.917083740234
2048,3,974.8984428674385,4909.2120361328125
2176,3,1038.4258588025275,5229.039764404297
2304,3,1102.2604686547597,5550.402648925781
2432,3,1166.3995771752652,5873.299072265625
2560,3,1230.8468600488136,6197.72900390625
2688,3,1295.5984405886675,6523.693603515625
2816,3,1360.6573034383632,6851.1917724609375
2944,3,1426.0224268055163,7180.2239990234375
3072,3,1491.6938803034618,7510.790283203125
3200,3,1557.6715662824463,7842.8902587890625
3328,3,1623.9555659041466,8176.5240478515625
3456,3,1690.5458284079032,8511.692138671875
3584,3,1757.4424063135275,8848.394714355469
3712,3,1824.6466500675656,9186.630920410156
3840,3,1892.154364368254,9526.400634765625
3968,3,1959.9697889497659,9867.704467773438
4096,3,2028.0961507281177,10210.542785644531
512,6,296.6363141603799,1493.9643478393555
640,6,371.8011762760662,1872.4885482788086
768,6,447.42633859932255,2253.313766479492
896,6,523.5091766482473,2636.439910888672
1024,6,600.0523183059486,3021.8673248291016
1152,6,677.0553229571169,3409.595260620117
1280,6,754.5168855658844,3799.6241760253906
1408,6,832.4383039541524,4191.954345703125
1536,6,910.8191545192633,4586.5850830078125
1664,6,989.660051041451,4983.517028808594
1792,6,1068.9591257853494,5382.749572753906
1920,6,1148.718247780063,5784.28369140625
2048,6,1228.9368115629916,6188.1187744140625
2176,6,1309.6147748406968,6594.2537841796875
2304,6,1390.752204880265,7002.690765380859
2432,6,1472.3490176370813,7413.428405761719
2560,6,1554.405302620296,7826.4664306640625
2688,6,1636.9209730875423,8241.806213378906
2816,6,1719.8960991573122,8659.446472167969
2944,6,1803.3306281364798,9079.387817382812
3072,6,1887.2246224108235,9501.630065917969
3200,6,1971.577998989344,9926.173095703125
3328,6,2056.3908277510363,10353.016906738281
3456,6,2141.664372682244,10782.162048339844
3584,6,2227.394752013651,11213.608581542969
3712,6,2313.585842668087,11647.355773925781
3840,6,2400.236364470087,12083.403442382812
3968,6,2487.3463360264855,12521.752197265625
4096,6,2574.9157204498965,12962.402587890625
512,9,357.17051929531067,1798.8077697753906
640,9,447.6516179840123,2254.4533462524414
768,9,538.7460608290223,2713.1669311523438
896,9,630.4519087183457,3174.948455810547
1024,9,722.7709071396132,3639.7981567382812
1152,9,815.7024737381792,4107.715423583984
1280,9,909.2466173876201,4578.700653076172
1408,9,1003.4033224213726,5052.754119873047
1536,9,1098.1726020201982,5529.875091552734
1664,9,1193.5544351252565,6010.064270019531
1792,9,1289.5488505333901,6493.321044921875
1920,9,1386.155828658842,6979.646331787109
2048,9,1483.3753904403773,7469.039581298828
2176,9,1581.2083145245538,7961.499816894531
2304,9,1679.6522017321022,8457.02896118164
2432,9,1778.7103634182422,8955.625671386719
2560,9,1878.3792860932408,9457.289794921875
2688,9,1978.6616663796672,9962.022766113281
2816,9,2079.556645267751,10469.823120117188
2944,9,2181.064169038078,10980.691467285156
3072,9,2283.18429209834,11494.627685546875
3200,9,2385.92057924416,12011.631896972656
3328,9,2489.262193998554,12531.703552246094
3456,9,2593.2199928124364,13054.84375
3584,9,2697.790384081858,13581.052185058594
3712,9,2802.9733136468317,14110.328308105469
3840,9,2908.768827792489,14642.671997070312
3968,9,3015.176932091339,15178.083679199219
4096,9,3122.197594766919,15716.56396484375
512,12,418.06155810398275,2105.4499435424805
640,12,523.862873413193,2638.2348709106445
768,12,630.429898239483,3174.8548126220703
896,12,737.7626326245603,3715.3096466064453
1024,12,845.8614685046347,4259.599655151367
1152,12,954.7256790936603,4807.7242431640625
1280,12,1064.3551115948435,5359.6837158203125
1408,12,1174.7512242725252,5915.478424072266
1536,12,1285.9119876982872,6475.107635498047
1664,12,1397.8396164227454,7038.572021484375
1792,12,1510.5316976477247,7605.871002197266
1920,12,1623.9908457231818,8177.005432128906
2048,12,1738.2142651834768,8751.974884033203
2176,12,1853.2040910048927,9330.778259277344
2304,12,1968.9596765294787,9913.417449951172
2432,12,2085.4818507462014,10499.891357421875
2560,12,2202.767930198045,11090.199523925781
2688,12,2320.8206045687307,11684.343627929688
2816,12,2439.639019431876,12282.322021484375
2944,12,2559.2231266099598,12884.135375976562
3072,12,2679.572974922854,13489.783630371094
3200,12,2800.6897055688282,14099.266784667969
3328,12,2922.5697474258423,14712.584533691406
3456,12,3045.2167000170257,15329.737670898438
3584,12,3168.6307458790425,15950.726013183594
3712,12,3292.8077552657787,16575.549072265625
3840,12,3417.7532994816183,17204.206787109375
3968,12,3543.461659799401,17836.699157714844
4096,12,3669.941839850666,18473.02734375
