study,setting,arch,draft,target,ctx,batch,method,gamma,alpha,tpot,throughput,speedup
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,4,spec,4,0.8,0.0003990436210859,10023.966776150864,2.0111427811413
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,baseline,0,0.0,0.0042905286737777,3729.144172322276,1.0
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,1,0.6,0.0031654382374757,5054.592381735799,1.3554295967560075
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,1,0.7,0.0029792359882124,5370.504405594285,1.440143946553258
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,1,0.8,0.0028137228777562,5686.416429452773,1.5248582963505086
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,1,0.9,0.0026656321999795,6002.328453311261,1.609572646147759
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,2,0.6,0.002993269132181,5345.326228096821,1.433392215771612
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,2,0.7,0.0026789075338241,5972.583897720428,1.601596404357056
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,2,0.8,0.0024044293028995,6654.385712528696,1.7844270441238437
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,2,0.9,0.0021648736158947,7390.731672521624,1.9818841350719727
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,4,0.6,0.0032404059500376,4937.6529504934815,1.324071347828481
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,4,0.7,0.0026941256926929,5938.84689322236,1.5925495552841604
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,4,0.8,0.0022224773793451,7199.173385834007,1.930516239963663
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,4,0.9,0.001824394998512,8770.030620040709,2.3517542403246066
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,8,0.6,0.0043154355478957,3707.621124778843,0.9942284217104886
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,8,0.7,0.0033386875088815,4792.302351578789,1.2850944158038398
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,8,0.8,0.0024671017405265,6485.342593364222,1.7390967722563428
