study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
precision,4bit,kv_buffer,512,6,0.55,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0745425652230442,0.0011395519770006,0.163128228767737,0.002493784524864,2.188390328125,1.3041810807938623,0.9033764921230564
precision,4bit,kv_buffer,512,6,0.6,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0671305163290023,0.0010262420185151,0.163128228767737,0.002493784524864,2.430016,1.4481789891393435,0.813550354408196
precision,4bit,kv_buffer,512,6,0.65,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0600380837555703,0.0009178181195439,0.163128228767737,0.002493784524864,2.7170792031250004,1.6192555990549429,0.7275976260625174
precision,4bit,kv_buffer,512,6,0.7,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0533304614518665,0.0008152769172886,0.163128228767737,0.002493784524864,3.058819,1.8229169714850504,0.6463083883085554
precision,4bit,kv_buffer,512,6,0.75,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0470643956492675,0.000719485906448,0.163128228767737,0.002493784524864,3.466064453125,2.0656167350414045,0.5703703450278252
precision,4bit,kv_buffer,512,6,0.8,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0412834028359743,0.0006311103351257,0.163128228767737,0.002493784524864,3.951424,2.354868944887993,0.5003108697061077
precision,4bit,kv_buffer,512,6,0.85,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0360147323458083,0.0005505667711195,0.163128228767737,0.002493784524864,4.529486078124999,2.699367646114178,0.4364601952449206
precision,4bit,kv_buffer,512,6,0.9,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0312684031909599,0.0004780083777274,0.163128228767737,0.002493784524864,5.217031,3.1091131415960294,0.3789397414003457
precision,4bit,kv_buffer,512,6,0.95,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0270381831521396,0.0004133398813595,0.163128228767737,0.002493784524864,6.033254078125,3.5955449643458657,0.3276739803127892
precision,4bit,kv_buffer,512,8,0.2,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1390322136697836,0.0022637600520305,0.1737901781066128,0.0028296986162317,1.24999936,0.6565104493528303,1.6849223406962202
precision,4bit,kv_buffer,512,8,0.25,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1303431307995442,0.0021222820580373,0.1737901781066128,0.0028296986162317,1.3333282470703125,0.7002754998362178,1.5796199114117395
precision,4bit,kv_buffer,512,8,0.3,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1216555192202137,0.0019808280200001,0.1737901781066128,0.0028296986162317,1.42854331,0.7502832724394991,1.4743353126059422
precision,4bit,kv_buffer,512,8,0.35,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1129725197705964,0.0018394490779045,0.1737901781066128,0.0028296986162317,1.5383402836328124,0.8079495903624607,1.3691066078996967
precision,4bit,kv_buffer,512,8,0.4,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1043014488629784,0.0016982643595513,0.1737901781066128,0.0028296986162317,1.66622976,0.8751182468306692,1.2640224644168985
precision,4bit,kv_buffer,512,8,0.45,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0956569797435364,0.0015575127786976,0.1737901781066128,0.0028296986162317,1.8168060351953124,0.9542022057939364,1.159260706272125
precision,4bit,kv_buffer,512,8,0.5,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.087065138151258,0.0014176180934546,0.1737901781066128,0.0028296986162317,1.99609375,1.0483656605735192,1.0551367377008103
precision,4bit,kv_buffer,512,8,0.55,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0785674118812437,0.0012792558193068,0.1737901781066128,0.0028296986162317,2.2119880742578126,1.161755222493953,0.9521533465892004
precision,4bit,kv_buffer,512,8,0.6,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0702237649982731,0.0011434023073518,0.1737901781066128,0.0028296986162317,2.47480576,1.2997893387389996,0.8510372335322096
precision,4bit,kv_buffer,512,8,0.65,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0621130422545877,0.0010113413291395,0.1737901781066128,0.0028296986162317,2.7979659633203124,1.4695158658747978,0.7527439129461863
precision,4bit,kv_buffer,512,8,0.7,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0543294423990856,0.0008846066541402,0.1737901781066128,0.0028296986162317,3.19882131,1.680048552686866,0.6584149733327798
precision,4bit,kv_buffer,512,8,0.75,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.046974619062014,0.0007648534342156,0.1737901781066128,0.0028296986162317,3.699661254882813,1.943094013181232,0.5692823484150822
precision,4bit,kv_buffer,512,8,0.8,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.040146393320147,0.0006536744185567,0.1737901781066128,0.0028296986162317,4.32891136,2.273581597803516,0.4865315254503102
precision,4bit,kv_buffer,512,8,0.85,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0339264727272343,0.0005523999916208,0.1737901781066128,0.0028296986162317,5.1225536914453125,2.690409398133421,0.4111527129597997
precision,4bit,kv_buffer,512,8,0.9,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.028370223780895,0.0004619316456752,0.1737901781066128,0.0028296986162317,6.12579511,3.217320447515646,0.343816893921543
precision,4bit,kv_buffer,512,8,0.95,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0235010007661074,0.0003826496414953,0.1737901781066128,0.0028296986162317,7.395011805507812,3.883924007291826,0.2848070973938558
precision,4bit,kv_buffer,1024,1,0.2,gpt3_6.7b,gpt3_175b,4,0.0830246354384827,0.0014966002814489,0.0770280823978501,0.0013896389840654,0.0924336988774201,0.0016675667808785,1.2,1.076970564736581,0.9277738106411108
precision,4bit,kv_buffer,1024,1,0.25,gpt3_6.7b,gpt3_175b,4,0.0830246354384827,0.0014966002814489,0.0739469591019361,0.0013340534247028,0.0924336988774201,0.0016675667808785,1.25,1.1218443382672718,0.8906628582154663
precision,4bit,kv_buffer,1024,1,0.3,gpt3_6.7b,gpt3_175b,4,0.0830246354384827,0.0014966002814489,0.0711028452903231,0.0012827436775988,0.0924336988774201,0.0016675667808785,1.3,1.1667181117979628,0.8564065944379484
precision,4bit,kv_buffer,1024,1,0.35,gpt3_6.7b,gpt3_175b,4,0.0830246354384827,0.0014966002814489,0.0684694065758667,0.0012352346525026,0.0924336988774201,0.0016675667808785,1.35,1.2115918853286536,0.8246878316809872
