experiment,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
scheduler,kv_buffer,512,1,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1529977661646872,0.0027560758038454,0.1835973193976246,0.0033072909646145,1.2,1.0784603962375068,0.9279445087759928
scheduler,kv_buffer,512,1,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1468778555180997,0.0026458327716916,0.1835973193976246,0.0033072909646145,1.25,1.1233962460807363,0.890826728424953
scheduler,kv_buffer,512,1,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.141228707228942,0.0025440699727804,0.1835973193976246,0.0033072909646145,1.3,1.1683320959239656,0.8565641619470701
scheduler,kv_buffer,512,1,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1359980143686108,0.0024498451589737,0.1835973193976246,0.0033072909646145,1.35,1.213267945767195,0.8248395633564379
scheduler,kv_buffer,512,1,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1311409424268747,0.0023623506890104,0.1835973193976246,0.0033072909646145,1.4,1.2582037956104244,0.7953810075222795
scheduler,kv_buffer,512,1,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.126618840963879,0.0022808903204238,0.1835973193976246,0.0033072909646145,1.45,1.303139645453654,0.7679540762284078
scheduler,kv_buffer,512,1,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1223982129317497,0.0022048606430763,0.1835973193976246,0.0033072909646145,1.5,1.3480754952968834,0.7423556070207942
scheduler,kv_buffer,512,1,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1184498834823384,0.0021337361062029,0.1835973193976246,0.0033072909646145,1.5500000000000005,1.3930113451401132,0.7184086519556071
scheduler,kv_buffer,512,1,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1147483246235154,0.0020670568528841,0.1835973193976246,0.0033072909646145,1.6,1.4379471949833422,0.6959583815819946
scheduler,kv_buffer,512,1,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.111271102665227,0.002004418766433,0.1835973193976246,0.0033072909646145,1.65,1.4828830448265715,0.6748687336552676
