study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
kv_org,baseline,baseline,512,4,0.2,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2160679961488526,0.0034528240115471,0.2699985679876062,0.0043146488848293,1.2496,0.8608369825787707,1.3078330625377772
kv_org,baseline,baseline,512,4,0.25,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2026968721549184,0.0032391498959422,0.2699985679876062,0.0043146488848293,1.33203125,0.917623048936162,1.2268992900483426
kv_org,baseline,baseline,512,4,0.3,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1894593838941872,0.0030276113148756,0.2699985679876062,0.0043146488848293,1.4251,0.981737182996964,1.146774398250794
kv_org,baseline,baseline,512,4,0.35,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1764256899956179,0.002819329421887,0.2699985679876062,0.0043146488848293,1.53038125,1.054264386559801,1.0678830487156104
kv_org,baseline,baseline,512,4,0.4,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1636751745802656,0.002615572796332,0.2699985679876062,0.0043146488848293,1.6496,1.136392994927929,0.990705743784679
kv_org,baseline,baseline,512,4,0.45,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1512909560378965,0.0024176696921727,0.2699985679876062,0.0043146488848293,1.78463125,1.229414676909235,0.9157455888700854
kv_org,baseline,baseline,512,4,0.5,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1393540996065064,0.0022269155534603,0.2699985679876062,0.0043146488848293,1.9375,1.3347244348162357,0.8434932619082356
kv_org,baseline,baseline,512,4,0.55,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1279382898173523,0.0020444878785903,0.2699985679876062,0.0043146488848293,2.11038125,1.4538206044660806,0.7743947663234814
kv_org,baseline,baseline,512,4,0.6,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1171055551646453,0.0018713778993881,0.2699985679876062,0.0043146488848293,2.3056,1.5883048551805488,0.7088255529784899
kv_org,baseline,baseline,512,4,0.65,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1069034000856642,0.0017083447493886,0.2699985679876062,0.0043146488848293,2.52563125,1.7398821897860506,0.6470731604018625
kv_org,baseline,baseline,512,4,0.7,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0973634445161033,0.001555893723569,0.2699985679876062,0.0043146488848293,2.7731,1.910360944613628,0.5893289801836236
kv_org,baseline,baseline,512,4,0.75,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.08850145122257,0.0014142767151297,0.2699985679876062,0.0043146488848293,3.05078125,2.101652789498952,0.5356884224154737
kv_org,baseline,baseline,512,4,0.8,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0803184697726101,0.001283510496439,0.2699985679876062,0.0043146488848293,3.3616,2.315772727782327,0.4861578400009538
kv_org,baseline,baseline,512,4,0.85,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0728027538428379,0.0011634073581268,0.2699985679876062,0.0043146488848293,3.70863125,2.5548390963086867,0.4406661338862434
kv_org,baseline,baseline,512,4,0.9,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0659321061726468,0.0010536125820686,0.2699985679876062,0.0043146488848293,4.0951,2.821073565427596,0.3990789467771742
kv_org,baseline,baseline,512,4,0.95,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.059676351984618,0.0009536439673003,0.2699985679876062,0.0043146488848293,4.52438125,3.1168011389932517,0.3612136344493971
kv_org,baseline,baseline,512,6,0.2,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2587213931969852,0.0039890868067128,0.3233976019539404,0.0049862946830021,1.249984,0.7451125401618157,1.566008839993819
