experiment,arch,ctx,Ld,Lt,method,config,tau,L_per_tok,E_per_tok,latency_speedup,energy_ratio,alpha,tree_depth,tree_nodes,tree_layer_counts
eagle,kv_buffer,512,32,96,baseline,ar,1.0,0.2853425859336767,15.832483743577225,1.0,1.0,,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.2,0.2467180845750979,13.688202034989503,1.1565531826541964,0.8645644143195413,0.2,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.25,0.23684936119209396,13.140673953589921,1.2047428985981214,0.8299818377467596,0.25,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.3,0.22773977037701343,12.635263416913386,1.252932614542046,0.7980594593718843,0.3,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.35,0.21930496406675365,12.167290697768445,1.3011223304859711,0.76850170161737,0.35,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.4,0.2114726439215125,11.732744601419574,1.3493120464298958,0.7410552122738926,0.4,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.45,0.20418048378628792,11.328167201370622,1.3975017623738206,0.715501584264448,0.45,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.5,0.1973744676600783,10.950561627991602,1.4456914783177457,0.6916515314556331,0.5,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.5500000000000003,0.19100754934846284,10.597317704507999,1.4938811942616708,0.6693401917312576,0.55,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.5999999999999999,0.18503856343132344,10.266151526242128,1.5420709102055952,0.6484233107396561,0.6,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.65,0.17943133423643484,9.955056025446911,1.59026062614952,0.628774119505121,0.65,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.6999999999999997,0.1741539420530103,9.66226025999259,1.6384503420934446,0.6102807630490881,0.7,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.75,0.16917811513720998,9.386195681135659,1.6866400580373697,0.592844169819114,0.75,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.7999999999999998,0.16447872305006528,9.125468023326336,1.7348297739812943,0.5763762762130277,0.8,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.8500000000000003,0.1600333521568202,8.87883375242562,1.7830194899252199,0.5607985390180807,0.85,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.9,0.1558219481526934,8.645180232624949,1.8312092058691445,0.5460406827281313,0.9,,,
eagle,kv_buffer,512,32,96,vanilla,g1,1.9499999999999988,0.15182651358467572,8.42350894460893,1.879398921813068,0.5320396395812566,0.95,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.24,0.24746503175722886,15.9598675583187,1.1530622484618631,1.0080457252825636,0.2,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.3125,0.2337955347649248,15.078274874144906,1.22047919444048,0.9523631995050506,0.25,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.3900000000000001,0.22076017221508185,14.237579692313084,1.2925455849693466,0.8992638124822868,0.3,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.4725,0.208391605690298,13.439888470163117,1.3692614200484625,0.8488806107642641,0.35,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.56,0.19670297396087422,12.686048571996915,1.4506266996778279,0.8012671149681915,0.4,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.6524999999999999,0.18569236876185405,11.975936927270917,1.5366414238574424,0.7564155518005319,0.45,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.75,0.1753466510736936,11.308706155608679,1.6273055925873068,0.7142723996287879,0.5,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.8525,0.16564460965126251,10.682988271155297,1.7226192058674203,0.674751254710056,0.55,,,
eagle,kv_buffer,512,32,96,vanilla,g2,1.96,0.15655950988722642,10.09705906750775,1.8225822636977838,0.637743213954275,0.6,,,
eagle,kv_buffer,512,32,96,vanilla,g2,2.0725000000000002,0.14806110464606212,9.54896780328839,1.9271947660783966,0.6031250660315458,0.65,,,
